node,x,y,time
1,4020.0,2010.0,0
2,4520.0,2010.0,0
3,5000.0,2030.0,0
1,4020.0,4010.0,60
2,4470.0,4000.0,60
3,4990.0,3990.0,60
1,2990.0,4990.0,120
2,4980.0,4980.0,120
3,6010.0,4980.0,120
1,1960.0,6000.0,180
2,5980.0,5980.0,180
3,6990.0,5950.0,180
1,4020.0,8010.0,300
2,5000.0,8010.0,300
3,8990.0,8000.0,300
1,4020.0,8010.0,360
2,4500.0,8010.0,360
3,8090.0,8000.0,360
1,4020.0,8010.0,420
2,4500.0,8010.0,420
3,7090.0,8000.0,420
1,4020.0,8010.0,480
2,4500.0,8010.0,480
3,5590.0,8000.0,480
