node,x,y,time,states
1,3000.0,3000.0,0.0,"{(1, 2): 5}"
2,3190.0,3000.0,0.0,"{(1, 2): 5}"
1,3001.0,3001.0,3.0,"{(1, 2): 5}"
2,3271.0,2997.0,3.0,"{(1, 2): 5}"
1,3002.0,3002.0,6.0,"{(1, 2): 5}"
2,3352.0,2994.0,6.0,"{(1, 2): 5}"
1,3003.0,3003.0,9.0,"{(1, 2): 4}"
2,3433.0,2991.0,9.0,"{(1, 2): 4}"
1,3004.0,3004.0,12.0,"{(1, 2): 4}"
2,3514.0,2988.0,12.0,"{(1, 2): 4}"
1,3005.0,3005.0,15.0,"{(1, 2): 4}"
2,3595.0,2985.0,15.0,"{(1, 2): 4}"
1,3006.0,3006.0,18.0,"{(1, 2): 4}"
2,3676.0,2982.0,18.0,"{(1, 2): 4}"
1,3007.0,3007.0,21.0,"{(1, 2): 4}"
2,3757.0,2979.0,21.0,"{(1, 2): 4}"
1,3008.0,3008.0,24.0,"{(1, 2): 3}"
2,3838.0,2976.0,24.0,"{(1, 2): 3}"
1,3009.0,3009.0,27.0,"{(1, 2): 3}"
2,3919.0,2973.0,27.0,"{(1, 2): 3}"
1,3010.0,3010.0,30.0,"{(1, 2): 3}"
2,4000.0,2970.0,30.0,"{(1, 2): 3}"
1,3009.0,3012.0,33.0,"{(1, 2): 3}"
2,4054.0,2970.0,33.0,"{(1, 2): 3}"
1,3008.0,3014.0,36.0,"{(1, 2): 3}"
2,4108.0,2970.0,36.0,"{(1, 2): 3}"
1,3007.0,3016.0,39.0,"{(1, 2): 3}"
2,4162.0,2970.0,39.0,"{(1, 2): 3}"
1,3006.0,3018.0,42.0,"{(1, 2): 2}"
2,4216.0,2970.0,42.0,"{(1, 2): 2}"
1,3005.0,3020.0,45.0,"{(1, 2): 2}"
2,4270.0,2970.0,45.0,"{(1, 2): 2}"
1,3004.0,3022.0,48.0,"{(1, 2): 2}"
2,4324.0,2970.0,48.0,"{(1, 2): 2}"
1,3003.0,3024.0,51.0,"{(1, 2): 2}"
2,4378.0,2970.0,51.0,"{(1, 2): 2}"
1,3002.0,3026.0,54.0,"{(1, 2): 2}"
2,4432.0,2970.0,54.0,"{(1, 2): 2}"
1,3001.0,3028.0,57.0,"{(1, 2): 2}"
2,4486.0,2970.0,57.0,"{(1, 2): 2}"
1,3000.0,3030.0,60.0,"{(1, 2): 2}"
2,4540.0,2970.0,60.0,"{(1, 2): 2}"
1,3001.0,3027.0,63.0,"{(1, 2): 2}"
2,4585.0,2970.0,63.0,"{(1, 2): 2}"
1,3002.0,3024.0,66.0,"{(1, 2): 1}"
2,4630.0,2970.0,66.0,"{(1, 2): 1}"
1,3003.0,3021.0,69.0,"{(1, 2): 1}"
2,4675.0,2970.0,69.0,"{(1, 2): 1}"
1,3004.0,3018.0,72.0,"{(1, 2): 1}"
2,4720.0,2970.0,72.0,"{(1, 2): 1}"
1,3005.0,3015.0,75.0,"{(1, 2): 1}"
2,4765.0,2970.0,75.0,"{(1, 2): 1}"
1,3006.0,3012.0,78.0,"{(1, 2): 1}"
2,4810.0,2970.0,78.0,"{(1, 2): 1}"
1,3007.0,3009.0,81.0,"{(1, 2): 1}"
2,4855.0,2970.0,81.0,"{(1, 2): 1}"
1,3008.0,3006.0,84.0,"{(1, 2): 1}"
2,4900.0,2970.0,84.0,"{(1, 2): 1}"
1,3009.0,3003.0,87.0,"{(1, 2): 1}"
2,4945.0,2970.0,87.0,"{(1, 2): 1}"
1,3010.0,3000.0,90.0,"{(1, 2): 1}"
2,4990.0,2970.0,90.0,"{(1, 2): 1}"
1,3009.0,3002.0,93.0,"{(1, 2): 1}"
2,4890.0,2970.0,93.0,"{(1, 2): 1}"
1,3008.0,3004.0,96.0,"{(1, 2): 1}"
2,4790.0,2970.0,96.0,"{(1, 2): 1}"
1,3007.0,3006.0,99.0,"{(1, 2): 1}"
2,4690.0,2970.0,99.0,"{(1, 2): 1}"
1,3006.0,3008.0,102.0,"{(1, 2): 2}"
2,4590.0,2970.0,102.0,"{(1, 2): 2}"
1,3005.0,3010.0,105.0,"{(1, 2): 2}"
2,4490.0,2970.0,105.0,"{(1, 2): 2}"
1,3004.0,3012.0,108.0,"{(1, 2): 2}"
2,4390.0,2970.0,108.0,"{(1, 2): 2}"
1,3003.0,3014.0,111.0,"{(1, 2): 2}"
2,4290.0,2970.0,111.0,"{(1, 2): 2}"
1,3002.0,3016.0,114.0,"{(1, 2): 3}"
2,4190.0,2970.0,114.0,"{(1, 2): 3}"
1,3001.0,3018.0,117.0,"{(1, 2): 3}"
2,4090.0,2970.0,117.0,"{(1, 2): 3}"
1,3000.0,3020.0,120.0,"{(1, 2): 3}"
2,3990.0,2970.0,120.0,"{(1, 2): 3}"
1,3000.0,3018.0,126.0,"{(1, 2): 3}"
2,3910.0,2973.0,126.0,"{(1, 2): 3}"
1,3000.0,3016.0,132.0,"{(1, 2): 3}"
2,3830.0,2976.0,132.0,"{(1, 2): 3}"
1,3000.0,3014.0,138.0,"{(1, 2): 4}"
2,3750.0,2979.0,138.0,"{(1, 2): 4}"
1,3000.0,3012.0,144.0,"{(1, 2): 4}"
2,3670.0,2982.0,144.0,"{(1, 2): 4}"
1,3000.0,3010.0,150.0,"{(1, 2): 4}"
2,3590.0,2985.0,150.0,"{(1, 2): 4}"
1,3000.0,3008.0,156.0,"{(1, 2): 4}"
2,3510.0,2988.0,156.0,"{(1, 2): 4}"
1,3000.0,3006.0,162.0,"{(1, 2): 4}"
2,3430.0,2991.0,162.0,"{(1, 2): 4}"
1,3000.0,3004.0,168.0,"{(1, 2): 5}"
2,3350.0,2994.0,168.0,"{(1, 2): 5}"
1,3000.0,3002.0,174.0,"{(1, 2): 5}"
2,3270.0,2997.0,174.0,"{(1, 2): 5}"
1,3000.0,3000.0,180,"{(1, 2): 5}"
2,3190.0,3000.0,180,"{(1, 2): 5}"
