node,x,y,time,states
1,970.0,1960.0,0.0,"{(1, 2): 5, (3, 1): 4, (2, 3): 5}"
2,1230.0,1780.0,0.0,"{(1, 2): 5, (3, 1): 4, (2, 3): 5}"
3,1450.0,1590.0,0.0,"{(1, 2): 5, (3, 1): 4, (2, 3): 5}"
1,1016.0,2195.0,6.0,"{(1, 2): 5, (3, 1): 4, (2, 3): 5}"
2,1279.0,2021.0,6.0,"{(1, 2): 5, (3, 1): 4, (2, 3): 5}"
3,1588.0,1808.0,6.0,"{(1, 2): 5, (3, 1): 4, (2, 3): 5}"
1,1062.0,2430.0,12.0,"{(1, 2): 5, (3, 1): 4, (2, 3): 4}"
2,1328.0,2262.0,12.0,"{(1, 2): 5, (3, 1): 4, (2, 3): 4}"
3,1726.0,2026.0,12.0,"{(1, 2): 5, (3, 1): 4, (2, 3): 4}"
1,1108.0,2665.0,18.0,"{(1, 2): 5, (3, 1): 3, (2, 3): 4}"
2,1377.0,2503.0,18.0,"{(1, 2): 5, (3, 1): 3, (2, 3): 4}"
3,1864.0,2244.0,18.0,"{(1, 2): 5, (3, 1): 3, (2, 3): 4}"
1,1154.0,2900.0,24.0,"{(1, 2): 5, (3, 1): 3, (2, 3): 4}"
2,1426.0,2744.0,24.0,"{(1, 2): 5, (3, 1): 3, (2, 3): 4}"
3,2002.0,2462.0,24.0,"{(1, 2): 5, (3, 1): 3, (2, 3): 4}"
1,1200.0,3135.0,30.0,"{(1, 2): 5, (3, 1): 3, (2, 3): 4}"
2,1475.0,2985.0,30.0,"{(1, 2): 5, (3, 1): 3, (2, 3): 4}"
3,2140.0,2680.0,30.0,"{(1, 2): 5, (3, 1): 3, (2, 3): 4}"
1,1246.0,3370.0,36.0,"{(1, 2): 5, (3, 1): 3, (2, 3): 3}"
2,1524.0,3226.0,36.0,"{(1, 2): 5, (3, 1): 3, (2, 3): 3}"
3,2278.0,2898.0,36.0,"{(1, 2): 5, (3, 1): 3, (2, 3): 3}"
1,1292.0,3605.0,42.0,"{(1, 2): 5, (3, 1): 2, (2, 3): 3}"
2,1573.0,3467.0,42.0,"{(1, 2): 5, (3, 1): 2, (2, 3): 3}"
3,2416.0,3116.0,42.0,"{(1, 2): 5, (3, 1): 2, (2, 3): 3}"
1,1338.0,3840.0,48.0,"{(1, 2): 5, (3, 1): 2, (2, 3): 3}"
2,1622.0,3708.0,48.0,"{(1, 2): 5, (3, 1): 2, (2, 3): 3}"
3,2554.0,3334.0,48.0,"{(1, 2): 5, (3, 1): 2, (2, 3): 3}"
1,1384.0,4075.0,54.0,"{(1, 2): 5, (3, 1): 2, (2, 3): 3}"
