node,x,y,time
1,1010.0,1010.0,0
2,1310.0,360.0,0
3,350.0,500.0,0
1,1010.0,1010.0,30
2,1080.0,960.0,30
3,960.0,1060.0,30
1,1350.0,1260.0,90
2,1420.0,1210.0,90
3,1280.0,1330.0,90
1,2240.0,1950.0,150
2,2990.0,1400.0,150
3,1580.0,2570.0,150
1,3410.0,2840.0,300
2,4520.0,1500.0,300
3,4230.0,1700.0,300
1,3410.0,2840.0,360
2,4520.0,1500.0,360
3,4230.0,1700.0,360
1,5150.0,2860.0,500
2,5240.0,2680.0,500
3,4307.7,1786.8,500
1,5150.0,2860.0,600
2,5240.0,2680.0,600
3,5340.0,2940.0,600
