node,x,y,time,states
1,1010.0,1010.0,0.0,"{(1, 2): 4, (1, 3): 3, (2, 3): 3}"
2,1310.0,360.0,0.0,"{(1, 2): 4, (1, 3): 3, (2, 3): 3}"
3,350.0,500.0,0.0,"{(1, 2): 4, (1, 3): 3, (2, 3): 3}"
1,1010.0,1010.0,3.0,"{(1, 2): 4, (1, 3): 4, (2, 3): 3}"
2,1287.0,420.0,3.0,"{(1, 2): 4, (1, 3): 4, (2, 3): 3}"
3,411.0,556.0,3.0,"{(1, 2): 4, (1, 3): 4, (2, 3): 3}"
1,1010.0,1010.0,6.0,"{(1, 2): 4, (1, 3): 4, (2, 3): 3}"
2,1264.0,480.0,6.0,"{(1, 2): 4, (1, 3): 4, (2, 3): 3}"
3,472.0,612.0,6.0,"{(1, 2): 4, (1, 3): 4, (2, 3): 3}"
1,1010.0,1010.0,9.0,"{(1, 2): 4, (1, 3): 4, (2, 3): 4}"
2,1241.0,540.0,9.0,"{(1, 2): 4, (1, 3): 4, (2, 3): 4}"
3,533.0,668.0,9.0,"{(1, 2): 4, (1, 3): 4, (2, 3): 4}"
1,1010.0,1010.0,12.0,"{(1, 2): 4, (1, 3): 4, (2, 3): 4}"
2,1218.0,600.0,12.0,"{(1, 2): 4, (1, 3): 4, (2, 3): 4}"
3,594.0,724.0,12.0,"{(1, 2): 4, (1, 3): 4, (2, 3): 4}"
1,1010.0,1010.0,15.0,"{(1, 2): 5, (1, 3): 4, (2, 3): 4}"
2,1195.0,660.0,15.0,"{(1, 2): 5, (1, 3): 4, (2, 3): 4}"
3,655.0,780.0,15.0,"{(1, 2): 5, (1, 3): 4, (2, 3): 4}"
1,1010.0,1010.0,18.0,"{(1, 2): 5, (1, 3): 5, (2, 3): 4}"
2,1172.0,720.0,18.0,"{(1, 2): 5, (1, 3): 5, (2, 3): 4}"
3,716.0,836.0,18.0,"{(1, 2): 5, (1, 3): 5, (2, 3): 4}"
1,1010.0,1010.0,21.0,"{(1, 2): 5, (1, 3): 5, (2, 3): 5}"
2,1149.0,780.0,21.0,"{(1, 2): 5, (1, 3): 5, (2, 3): 5}"
3,777.0,892.0,21.0,"{(1, 2): 5, (1, 3): 5, (2, 3): 5}"
1,1010.0,1010.0,24.0,"{(1, 2): 5, (1, 3): 5, (2, 3): 5}"
2,1126.0,840.0,24.0,"{(1, 2): 5, (1, 3): 5, (2, 3): 5}"
3,838.0,948.0,24.0,"{(1, 2): 5, (1, 3): 5, (2, 3): 5}"
1,1010.0,1010.0,27.0,"{(1, 2): 5, (1, 3): 5, (2, 3): 5}"
2,1103.0,900.0,27.0,"{(1, 2): 5, (1, 3): 5, (2, 3): 5}"
3,899.0,1004.0,27.0,"{(1, 2): 5, (1, 3): 5, (2, 3): 5}"
