node,x,y,time
1,1980.0,4990.0,0
2,2170.0,5100.0,0
3,2200.0,4990.0,0
1,1980.0,5000.0,90
2,4000.0,4980.0,90
3,4010.0,4500.0,90
1,1970.0,4980.0,120
2,5010.0,4840.0,120
3,5010.0,4450.0,120
1,1990.0,5030.0,180
2,6000.0,4980.0,180
3,5010.0,4450.0,180
1,2000.0,5030.0,220
2,7560.0,4950.0,220
3,4990.0,4480.0,220
1,2000.0,5060.0,240
2,6040.0,5010.0,240
3,5000.0,4490.0,240
1,2010.0,5000.0,300
2,5020.0,4990.0,300
3,5010.0,4470.0,300
1,2010.0,4970.0,340
2,4050.0,4970.0,340
3,4000.0,4530.0,340
1,2010.0,5030.0,400
2,2250.0,4980.0,400
3,2210.0,4670.0,400
