node,x,y,time,states
1,1980.0,4990.0,0.0,"{(1, 2): 5, (3, 1): 5, (2, 3): 5}"
2,2170.0,5100.0,0.0,"{(1, 2): 5, (3, 1): 5, (2, 3): 5}"
3,2200.0,4990.0,0.0,"{(1, 2): 5, (3, 1): 5, (2, 3): 5}"
1,1980.0,4991.0,9.0,"{(1, 2): 5, (3, 1): 4, (2, 3): 5}"
2,2353.0,5088.0,9.0,"{(1, 2): 5, (3, 1): 4, (2, 3): 5}"
3,2381.0,4941.0,9.0,"{(1, 2): 5, (3, 1): 4, (2, 3): 5}"
1,1980.0,4992.0,18.0,"{(1, 2): 4, (3, 1): 4, (2, 3): 5}"
2,2536.0,5076.0,18.0,"{(1, 2): 4, (3, 1): 4, (2, 3): 5}"
3,2562.0,4892.0,18.0,"{(1, 2): 4, (3, 1): 4, (2, 3): 5}"
1,1980.0,4993.0,27.0,"{(1, 2): 4, (3, 1): 4, (2, 3): 5}"
2,2719.0,5064.0,27.0,"{(1, 2): 4, (3, 1): 4, (2, 3): 5}"
3,2743.0,4843.0,27.0,"{(1, 2): 4, (3, 1): 4, (2, 3): 5}"
1,1980.0,4994.0,36.0,"{(1, 2): 3, (3, 1): 3, (2, 3): 5}"
2,2902.0,5052.0,36.0,"{(1, 2): 3, (3, 1): 3, (2, 3): 5}"
3,2924.0,4794.0,36.0,"{(1, 2): 3, (3, 1): 3, (2, 3): 5}"
1,1980.0,4995.0,45.0,"{(1, 2): 3, (3, 1): 3, (2, 3): 5}"
2,3085.0,5040.0,45.0,"{(1, 2): 3, (3, 1): 3, (2, 3): 5}"
3,3105.0,4745.0,45.0,"{(1, 2): 3, (3, 1): 3, (2, 3): 5}"
1,1980.0,4996.0,54.0,"{(1, 2): 2, (3, 1): 2, (2, 3): 5}"
2,3268.0,5028.0,54.0,"{(1, 2): 2, (3, 1): 2, (2, 3): 5}"
3,3286.0,4696.0,54.0,"{(1, 2): 2, (3, 1): 2, (2, 3): 5}"
1,1980.0,4997.0,63.0,"{(1, 2): 2, (3, 1): 2, (2, 3): 5}"
2,3451.0,5016.0,63.0,"{(1, 2): 2, (3, 1): 2, (2, 3): 5}"
3,3467.0,4647.0,63.0,"{(1, 2): 2, (3, 1): 2, (2, 3): 5}"
1,1980.0,4998.0,72.0,"{(1, 2): 1, (3, 1): 1, (2, 3): 4}"
2,3634.0,5004.0,72.0,"{(1, 2): 1, (3, 1): 1, (2, 3): 4}"
3,3648.0,4598.0,72.0,"{(1, 2): 1, (3, 1): 1, (2, 3): 4}"
1,1980.0,4999.0,81.0,"{(1, 2): 1, (3, 1): 1, (2, 3): 4}"
2,3817.0,4992.0,81.0,"{(1, 2): 1, (3, 1): 1, (2, 3): 4}"
3,3829.0,4549.0,81.0,"{(1, 2): 1, (3, 1): 1, (2, 3): 4}"
1,1980.0,5000.0,90.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 4}"
2,4000.0,4980.0,90.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 4}"
3,4010.0,4500.0,90.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 4}"
1,1979.0,4998.0,93.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 4}"
2,4101.0,4966.0,93.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 4}"
3,4110.0,4495.0,93.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 4}"
1,1978.0,4996.0,96.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 4}"
2,4202.0,4952.0,96.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 4}"
3,4210.0,4490.0,96.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 4}"
1,1977.0,4994.0,99.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 4}"
2,4303.0,4938.0,99.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 4}"
3,4310.0,4485.0,99.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 4}"
1,1976.0,4992.0,102.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 4}"
2,4404.0,4924.0,102.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 4}"
3,4410.0,4480.0,102.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 4}"
1,1975.0,4990.0,105.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 4}"
2,4505.0,4910.0,105.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 4}"
3,4510.0,4475.0,105.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 4}"
1,1974.0,4988.0,108.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 4}"
2,4606.0,4896.0,108.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 4}"
3,4610.0,4470.0,108.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 4}"
1,1973.0,4986.0,111.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 4}"
2,4707.0,4882.0,111.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 4}"
3,4710.0,4465.0,111.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 4}"
1,1972.0,4984.0,114.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 4}"
2,4808.0,4868.0,114.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 4}"
3,4810.0,4460.0,114.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 4}"
1,1971.0,4982.0,117.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 5}"
2,4909.0,4854.0,117.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 5}"
3,4910.0,4455.0,117.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 5}"
1,1970.0,4980.0,120.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 5}"
2,5010.0,4840.0,120.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 5}"
3,5010.0,4450.0,120.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 5}"
1,1972.0,4985.0,126.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 4}"
2,5109.0,4854.0,126.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 4}"
3,5010.0,4450.0,126.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 4}"
1,1974.0,4990.0,132.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 4}"
2,5208.0,4868.0,132.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 4}"
3,5010.0,4450.0,132.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 4}"
1,1976.0,4995.0,138.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 4}"
2,5307.0,4882.0,138.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 4}"
3,5010.0,4450.0,138.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 4}"
1,1978.0,5000.0,144.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 4}"
2,5406.0,4896.0,144.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 4}"
3,5010.0,4450.0,144.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 4}"
1,1980.0,5005.0,150.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 4}"
2,5505.0,4910.0,150.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 4}"
3,5010.0,4450.0,150.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 4}"
1,1982.0,5010.0,156.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 4}"
2,5604.0,4924.0,156.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 4}"
3,5010.0,4450.0,156.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 4}"
1,1984.0,5015.0,162.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 3}"
2,5703.0,4938.0,162.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 3}"
3,5010.0,4450.0,162.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 3}"
1,1986.0,5020.0,168.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 3}"
2,5802.0,4952.0,168.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 3}"
3,5010.0,4450.0,168.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 3}"
1,1988.0,5025.0,174.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 3}"
2,5901.0,4966.0,174.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 3}"
3,5010.0,4450.0,174.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 3}"
1,1990.0,5030.0,180.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 3}"
2,6000.0,4980.0,180.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 3}"
3,5010.0,4450.0,180.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 3}"
1,1991.0,5030.0,184.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 2}"
2,6156.0,4977.0,184.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 2}"
3,5008.0,4453.0,184.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 2}"
1,1992.0,5030.0,188.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 2}"
2,6312.0,4974.0,188.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 2}"
3,5006.0,4456.0,188.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 2}"
1,1993.0,5030.0,192.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 2}"
2,6468.0,4971.0,192.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 2}"
3,5004.0,4459.0,192.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 2}"
1,1994.0,5030.0,196.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 1}"
2,6624.0,4968.0,196.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 1}"
3,5002.0,4462.0,196.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 1}"
1,1995.0,5030.0,200.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 1}"
2,6780.0,4965.0,200.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 1}"
3,5000.0,4465.0,200.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 1}"
1,1996.0,5030.0,204.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 1}"
2,6936.0,4962.0,204.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 1}"
3,4998.0,4468.0,204.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 1}"
1,1997.0,5030.0,208.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 0}"
2,7092.0,4959.0,208.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 0}"
3,4996.0,4471.0,208.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 0}"
1,1998.0,5030.0,212.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 0}"
2,7248.0,4956.0,212.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 0}"
3,4994.0,4474.0,212.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 0}"
1,1999.0,5030.0,216.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 0}"
2,7404.0,4953.0,216.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 0}"
3,4992.0,4477.0,216.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 0}"
1,2000.0,5030.0,220.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 0}"
2,7560.0,4950.0,220.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 0}"
3,4990.0,4480.0,220.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 0}"
1,2000.0,5033.0,222.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 0}"
2,7408.0,4956.0,222.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 0}"
3,4991.0,4481.0,222.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 0}"
1,2000.0,5036.0,224.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 0}"
2,7256.0,4962.0,224.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 0}"
3,4992.0,4482.0,224.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 0}"
1,2000.0,5039.0,226.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 0}"
2,7104.0,4968.0,226.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 0}"
3,4993.0,4483.0,226.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 0}"
1,2000.0,5042.0,228.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 0}"
2,6952.0,4974.0,228.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 0}"
3,4994.0,4484.0,228.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 0}"
1,2000.0,5045.0,230.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 1}"
2,6800.0,4980.0,230.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 1}"
3,4995.0,4485.0,230.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 1}"
1,2000.0,5048.0,232.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 1}"
2,6648.0,4986.0,232.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 1}"
3,4996.0,4486.0,232.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 1}"
1,2000.0,5051.0,234.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 2}"
2,6496.0,4992.0,234.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 2}"
