node,x,y,time,states
1,4020.0,2010.0,0.0,"{(1, 2): 4, (3, 1): 3, (2, 3): 4}"
2,4520.0,2010.0,0.0,"{(1, 2): 4, (3, 1): 3, (2, 3): 4}"
3,5000.0,2030.0,0.0,"{(1, 2): 4, (3, 1): 3, (2, 3): 4}"
1,4020.0,2210.0,6.0,"{(1, 2): 4, (3, 1): 3, (2, 3): 4}"
2,4515.0,2209.0,6.0,"{(1, 2): 4, (3, 1): 3, (2, 3): 4}"
3,4999.0,2226.0,6.0,"{(1, 2): 4, (3, 1): 3, (2, 3): 4}"
1,4020.0,2410.0,12.0,"{(1, 2): 4, (3, 1): 3, (2, 3): 4}"
2,4510.0,2408.0,12.0,"{(1, 2): 4, (3, 1): 3, (2, 3): 4}"
3,4998.0,2422.0,12.0,"{(1, 2): 4, (3, 1): 3, (2, 3): 4}"
1,4020.0,2610.0,18.0,"{(1, 2): 4, (3, 1): 3, (2, 3): 4}"
2,4505.0,2607.0,18.0,"{(1, 2): 4, (3, 1): 3, (2, 3): 4}"
3,4997.0,2618.0,18.0,"{(1, 2): 4, (3, 1): 3, (2, 3): 4}"
1,4020.0,2810.0,24.0,"{(1, 2): 4, (3, 1): 3, (2, 3): 4}"
2,4500.0,2806.0,24.0,"{(1, 2): 4, (3, 1): 3, (2, 3): 4}"
3,4996.0,2814.0,24.0,"{(1, 2): 4, (3, 1): 3, (2, 3): 4}"
1,4020.0,3010.0,30.0,"{(1, 2): 4, (3, 1): 3, (2, 3): 4}"
2,4495.0,3005.0,30.0,"{(1, 2): 4, (3, 1): 3, (2, 3): 4}"
3,4995.0,3010.0,30.0,"{(1, 2): 4, (3, 1): 3, (2, 3): 4}"
1,4020.0,3210.0,36.0,"{(1, 2): 4, (3, 1): 3, (2, 3): 4}"
2,4490.0,3204.0,36.0,"{(1, 2): 4, (3, 1): 3, (2, 3): 4}"
3,4994.0,3206.0,36.0,"{(1, 2): 4, (3, 1): 3, (2, 3): 4}"
